bedrijf,longitude,latitude
PPG Coatings,5.41262,51.88328
Intervet Schering-Plough Animal Health (De Bilt),5.18567,52.10906
TANATEX Chemicals BV,5.64482,52.02861
HWC Amsterdam Driehoek,4.83429,52.34058
Scheepswerf Slob BV,4.72257,51.82450
Arrow Terminals,3.70600,51.43900
Prysmian Netherlands B.V.,4.36430,51.99568
Heineken Nederland BV (Den Bosch),5.27871,51.70212
Arkema BV Location Brummen,6.15397,52.10302
Delamine BV,6.96172,53.31367
Nobian Chemicals BV (Chemie Park Delfzijl),6.94789,53.31960
FrieslandCampina Rotterdam,4.41596,51.93005
RWZI Bergum-Suameer,5.99602,53.18353
Sonac Harlingen BV,5.43579,53.17996
Zincoat BV,6.84439,52.72100
Pernis PVC Plant,4.34662,51.87605
Merck Sharp & Dohme BV (De Geer),5.55483,51.78227
Smurfit Kappa Solid Board KM4 (Oude Pekela),6.98746,53.09302
RZB Holding BV,4.41598,51.89084
FrieslandCampina Den Bosch,5.32936,51.68417
BRF B.V.,6.30145,52.98343
RWZI Waalwijk,5.07178,51.71163
Van Merksteijn Plastics B.V.,6.80929,52.20555
Caligen Europe BV,4.76862,51.60750
UCO Kampen BV,5.87658,52.57435
DSM Advanced Polyesters Emmen BV,6.90699,52.77500
Organik Kimya BV,4.26707,51.87747
Nuon HWC Westervoort,5.98303,51.95685
Frisia Zout,5.42630,53.18691
Ekro BV,5.97299,52.17891
Global Food Group BV eierverwerking,5.77461,51.29777
FrieslandCampina Cheese (Balkbrug),6.39677,52.60229
Tata Steel Nederland Tubes BV (Maastricht),5.71401,50.88301
Nuon HWC Schuytgraaf,5.84117,51.94493
Eagle Simrax BV,6.04178,50.88762
Kemira Chemicals BV,4.18578,51.91910
Cumapol Emmen BV,6.90699,52.77500
Stegeman C.V.,6.14221,52.39470
Mirec BV,5.43430,51.43699
Crealis Nederland BV,4.25655,51.50389
B.V. Esbro,6.22463,51.94762
Eneco HWC Nicolaas Beetsstraat,5.11502,52.08529
RWZI Nieuwe Waterweg,4.15324,51.96624
Nedschroef Helmond BV,5.65107,51.48255
Tata Steel Nederland Tubes BV (Zwijndrecht),4.62431,51.80556
W.F.G.M. van Gemert,5.76401,51.30082
Exploitatiemaatschappij J. ter Horst BV,6.47179,51.93866
Uniper HWC Delftsevaart,4.48361,51.92169
